District,Block Name,Total No of Works,Road Length,Sanction Cost,State
Anantapur,Agali,5,19.025,580.26,Andhra Pradesh
Anantapur,Amadagur,,,,Andhra Pradesh
Anantapur,Amarapuram,4,9.980,333.50,Andhra Pradesh
Anantapur,Anantapur,1,3.050,92.23,Andhra Pradesh
Anantapur,Atmakur,,,,Andhra Pradesh
Anantapur,Bathalapalle,2,8.300,231.12,Andhra Pradesh
Anantapur,Beluguppa,1,7.400,246.94,Andhra Pradesh
Anantapur,Bommanahal,1,6.000,186.76,Andhra Pradesh
Anantapur,Brahmasamudram,2,20.500,674.04,Andhra Pradesh
Anantapur,Bukkapatnam,2,1.700,63.80,Andhra Pradesh
Anantapur,Bukkarayasamudram,1,5.200,166.00,Andhra Pradesh
Anantapur,Chenne Kothapalle,5,18.535,552.15,Andhra Pradesh
Anantapur,Chilamathur,,,,Andhra Pradesh
Anantapur,D Hirehal,,,,Andhra Pradesh
Anantapur,Dharmavaram,2,15.200,485.48,Andhra Pradesh
Anantapur,Gandlapenta,3,17.900,539.06,Andhra Pradesh
Anantapur,Garladinne,,,,Andhra Pradesh
Anantapur,Gorantla,1,11.000,257.60,Andhra Pradesh
Anantapur,Kadiri,6,5.310,168.01,Andhra Pradesh
Anantapur,Kalyandurg,2,16.000,484.31,Andhra Pradesh
Anantapur,Kambadur,3,38.330,"1,121.30",Andhra Pradesh
Anantapur,Kanaganapalle,3,8.000,247.35,Andhra Pradesh
Anantapur,Kanekal,1,11.500,272.84,Andhra Pradesh
Anantapur,Kothacheruvu,2,6.600,186.71,Andhra Pradesh
Anantapur,Kudair,,,,Andhra Pradesh
Anantapur,Kundurpi,2,7.000,221.00,Andhra Pradesh
Anantapur,Lepakshi,,,,Andhra Pradesh
Anantapur,Madakasira,9,19.180,614.74,Andhra Pradesh
Anantapur,Mudigubba,10,33.180,"1,100.41",Andhra Pradesh
Anantapur,Nallacheruvu,,,,Andhra Pradesh
Anantapur,Nallamada,,,,Andhra Pradesh
Anantapur,Nambulipulikunta,,,,Andhra Pradesh
Anantapur,Narpala,1,9.700,264.56,Andhra Pradesh
Anantapur,Obuladevaracheruvu,4,16.350,493.65,Andhra Pradesh
Anantapur,Pamidi,3,15.150,479.72,Andhra Pradesh
Anantapur,Parigi,,,,Andhra Pradesh
Anantapur,Peddapappur,2,6.400,179.83,Andhra Pradesh
Anantapur,Peddavadugur,4,8.150,252.54,Andhra Pradesh
Anantapur,Penu Konda,2,3.800,121.13,Andhra Pradesh
Anantapur,Putlur,7,26.700,886.10,Andhra Pradesh
Anantapur,Puttaparthi,5,18.880,587.74,Andhra Pradesh
Anantapur,Ramagiri,4,8.050,271.71,Andhra Pradesh
Anantapur,Raptadu,,,,Andhra Pradesh
Anantapur,Rayadurg,,,,Andhra Pradesh
Anantapur,Roddam,2,24.675,824.07,Andhra Pradesh
Anantapur,Rolla,9,18.250,600.97,Andhra Pradesh
Anantapur,Settur,,,,Andhra Pradesh
Anantapur,Singanamala,1,11.400,364.55,Andhra Pradesh
Anantapur,Somandepalle,,,,Andhra Pradesh
Anantapur,Tadimarri,1,8.500,313.49,Andhra Pradesh
Anantapur,Tadpatri,2,3.500,104.16,Andhra Pradesh
Anantapur,Talupula,2,13.800,462.08,Andhra Pradesh
Anantapur,Tanakal,4,12.100,407.60,Andhra Pradesh
Anantapur,Uravakonda,,,,Andhra Pradesh
Anantapur,Vajrakarur,,,,Andhra Pradesh
Anantapur,Vidapanakal,,,,Andhra Pradesh
Anantapur,Yadiki,3,10.100,302.60,Andhra Pradesh
Anantapur,Yellanur,7,25.900,799.72,Andhra Pradesh
Chittoor,B Kothakota,1,5.750,179.40,Andhra Pradesh
Chittoor,Baireddi Palle,2,8.950,268.96,Andhra Pradesh
Chittoor,Bangarupalem,,,,Andhra Pradesh
Chittoor,Buchinaidu Khandriga,1,5.685,148.60,Andhra Pradesh
Chittoor,Chandragiri,,,,Andhra Pradesh
Chittoor,Chinnagottigallu,,,,Andhra Pradesh
Chittoor,Chittoor,,,,Andhra Pradesh
Chittoor,Chowdepalle,3,14.711,509.50,Andhra Pradesh
Chittoor,Gangadhara Nellore,3,11.980,382.33,Andhra Pradesh
Chittoor,Gangavaram,,,,Andhra Pradesh
Chittoor,Gudipala,,,,Andhra Pradesh
Chittoor,Gudupalle,,,,Andhra Pradesh
Chittoor,Gurramkonda,,,,Andhra Pradesh
Chittoor,Irala,2,5.700,171.87,Andhra Pradesh
Chittoor,K V P Puram,1,2.950,140.00,Andhra Pradesh
Chittoor,Kalakada,1,5.600,168.69,Andhra Pradesh
Chittoor,Kalikiri,1,6.400,243.60,Andhra Pradesh
Chittoor,Kambhamvaripalle,1,13.130,441.00,Andhra Pradesh
Chittoor,Karvetinagar,2,13.660,395.82,Andhra Pradesh
Chittoor,Kuppam,,,,Andhra Pradesh
Chittoor,Kurabalakota,1,6.600,202.86,Andhra Pradesh
Chittoor,Mandanpalle,,,,Andhra Pradesh
